                    *********************************************************************************
                    *  Z= 93 A=237: Positive-Parity Spin-dependent Level Density [MeV-1] for NP237  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  18.00  0.914  6.35E+13 2.97E+13 1.45E+15 7.54E+08 3.54E+08 2.16E+08 9.00E+07 1.79E+09 3.51E+09 6.26E+08 2.41E+09 6.05E+09 3.57E+09 6.96E+08 1.24E+09 2.66E+09 1.20E+09 4.07E+08 1.53E+09 1.30E+10 1.07E+11 7.93E+11 1.48E+12 2.46E+12 2.82E+12 2.53E+12 4.05E+12 4.32E+12 3.97E+12 2.92E+12 2.18E+12 1.31E+12 7.31E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  0.939  1.09E+14 6.03E+13 3.02E+15 3.17E+08 1.06E+08 5.23E+07 1.65E+07 7.14E+08 1.67E+09 1.75E+08 9.36E+08 2.91E+09 1.39E+09 1.72E+08 3.07E+08 7.74E+08 2.67E+08 6.73E+07 3.46E+08 4.86E+09 6.56E+10 8.21E+11 1.84E+12 3.65E+12 4.55E+12 4.19E+12 8.19E+12 9.72E+12 9.59E+12 7.14E+12 5.43E+12 3.29E+12 1.85E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  0.963  2.03E+14 1.28E+14 6.54E+15 1.33E+08 3.16E+07 1.26E+07 3.02E+06 2.85E+08 7.94E+08 4.88E+07 3.63E+08 1.40E+09 5.39E+08 4.26E+07 7.60E+07 2.25E+08 5.94E+07 1.11E+07 7.84E+07 1.82E+09 4.04E+10 8.50E+11 2.30E+12 5.40E+12 7.34E+12 6.94E+12 1.66E+13 2.18E+13 2.32E+13 1.75E+13 1.35E+13 8.23E+12 4.70E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.022  1.57E+15 9.64E+14 5.06E+16 1.53E+07 1.55E+06 3.62E+05 4.34E+04 2.87E+07 1.24E+08 2.01E+06 3.40E+07 2.26E+08 5.08E+07 1.30E+06 2.32E+06 1.03E+07 1.40E+06 1.23E+05 1.91E+06 1.56E+08 1.20E+10 9.28E+11 3.99E+12 1.44E+13 2.43E+13 2.45E+13 9.65E+13 1.65E+14 2.10E+14 1.63E+14 1.32E+14 8.15E+13 4.81E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.077  1.28E+16 8.04E+15 4.29E+17 1.76E+06 7.56E+04 1.04E+04 6.24E+02 2.88E+06 1.94E+07 8.28E+04 3.19E+06 3.64E+07 4.78E+06 3.95E+04 7.05E+04 4.72E+05 3.27E+04 1.37E+03 4.67E+04 1.33E+07 3.58E+09 1.01E+12 6.94E+12 3.83E+13 8.02E+13 8.65E+13 5.62E+14 1.25E+15 1.90E+15 1.53E+15 1.29E+15 8.08E+14 4.92E+14 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.180  1.62E+18 6.36E+17 3.45E+19 2.32E+04 1.81E+02 8.54E+00 0.00E+00 2.92E+04 4.74E+05 1.40E+02 2.81E+04 9.42E+05 4.24E+04 3.66E+01 6.54E+01 9.91E+02 1.80E+01 1.68E-01 2.78E+01 9.78E+04 3.17E+08 1.21E+12 2.10E+13 2.72E+14 8.76E+14 1.08E+15 1.91E+16 7.19E+16 1.55E+17 1.34E+17 1.22E+17 7.94E+16 5.16E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.363  2.10E+22 4.20E+21 2.29E+23 4.04E+00 0.00E+00 0.00E+00 0.00E+00 2.99E+00 2.82E+02 0.00E+00 2.17E+00 6.33E+02 3.34E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.26E+00 2.48E+06 1.72E+12 1.91E+14 1.37E+16 1.05E+17 1.68E+17 2.19E+19 2.37E+20 1.04E+21 1.02E+21 1.11E+21 7.65E+20 1.54E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.523  8.40E+22 8.40E+21 4.58E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.94E+04 2.44E+12 1.75E+15 6.94E+17 2.08E+17 3.34E+17 4.38E+19 4.74E+20 2.09E+21 2.05E+21 2.21E+21 1.53E+21 4.59E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.669  2.10E+23 1.68E+22 9.17E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.52E+02 3.46E+12 1.59E+16 3.50E+19 4.15E+17 6.66E+17 8.75E+19 9.47E+20 4.17E+21 4.10E+21 4.43E+21 3.06E+21 1.37E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.802  4.71E+23 3.54E+22 1.91E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.92E+12 1.45E+17 1.77E+21 8.26E+17 1.33E+18 1.75E+20 1.89E+21 8.35E+21 8.19E+21 8.85E+21 6.12E+21 4.08E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  1.927  1.43E+24 1.56E+23 7.41E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 6.98E+12 1.33E+18 8.92E+22 1.65E+18 2.65E+18 3.50E+20 3.79E+21 1.67E+22 1.64E+22 1.77E+22 1.22E+22 1.22E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.044  2.54E+25 4.64E+24 1.96E+26 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 9.92E+12 1.21E+19 4.50E+24 3.28E+18 5.28E+18 6.99E+20 7.57E+21 3.34E+22 3.28E+22 3.54E+22 2.45E+22 3.62E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.154  1.19E+27 2.28E+26 9.56E+27 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.41E+13 1.11E+20 2.27E+26 6.53E+18 1.05E+19 1.40E+21 1.51E+22 6.68E+22 6.55E+22 7.08E+22 4.90E+22 1.08E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.260  5.97E+28 1.15E+28 4.82E+29 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.00E+13 1.01E+21 1.15E+28 1.30E+19 2.10E+19 2.79E+21 3.03E+22 1.34E+23 1.31E+23 1.42E+23 9.79E+22 3.22E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.360  3.01E+30 5.79E+29 2.43E+31 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.84E+13 9.20E+21 5.79E+29 2.59E+19 4.18E+19 5.59E+21 6.06E+22 2.67E+23 2.62E+23 2.83E+23 1.96E+23 9.59E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.456  1.52E+32 2.92E+31 1.23E+33 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.04E+13 8.40E+22 2.92E+31 5.16E+19 8.34E+19 1.12E+22 1.21E+23 5.34E+23 5.24E+23 5.66E+23 3.92E+23 2.86E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.549  7.67E+33 1.48E+33 6.20E+34 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.74E+13 7.66E+23 1.48E+33 1.03E+20 1.66E+20 2.23E+22 2.42E+23 1.07E+24 1.05E+24 1.13E+24 7.83E+23 8.52E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.639  3.87E+35 7.45E+34 3.13E+36 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 8.15E+13 6.99E+24 7.45E+34 2.05E+20 3.31E+20 4.46E+22 4.84E+23 2.14E+24 2.10E+24 2.27E+24 1.57E+24 2.54E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.725  1.96E+37 3.76E+36 1.58E+38 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.16E+14 6.38E+25 3.76E+36 4.07E+20 6.61E+20 8.92E+22 9.68E+23 4.27E+24 4.19E+24 4.53E+24 3.13E+24 7.58E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  2.809  9.87E+38 1.90E+38 7.97E+39 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.64E+14 5.82E+26 1.90E+38 8.11E+20 1.32E+21 1.78E+23 1.94E+24 8.54E+24 8.38E+24 9.06E+24 6.27E+24 2.26E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  2.890  4.98E+40 9.58E+39 4.02E+41 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.33E+14 5.31E+27 9.58E+39 1.62E+21 2.63E+21 3.57E+23 3.87E+24 1.71E+25 1.68E+25 1.81E+25 1.25E+25 6.73E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  2.970  2.51E+42 4.83E+41 2.03E+43 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.32E+14 4.85E+28 4.83E+41 3.22E+21 5.23E+21 7.13E+23 7.74E+24 3.42E+25 3.35E+25 3.62E+25 2.51E+25 2.01E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.047  1.27E+44 2.44E+43 1.02E+45 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 4.71E+14 4.43E+29 2.44E+43 6.41E+21 1.04E+22 1.43E+24 1.55E+25 6.83E+25 6.71E+25 7.25E+25 5.01E+25 5.98E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 93 A=239: Positive-Parity Spin-dependent Level Density [MeV-1] for NP239  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.107  3.00E+00 2.29E+01 2.57E+02 1.00E+00 1.76E+00 3.51E+00 3.02E+00 3.02E+00 3.02E+00 1.51E+00 1.51E+00 1.51E+00 1.51E+00 1.51E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.152  1.00E+01 2.98E+01 3.47E+02 8.33E-01 2.32E+00 4.42E+00 4.61E+00 3.78E+00 3.15E+00 2.52E+00 2.52E+00 1.26E+00 1.26E+00 1.26E+00 1.26E+00 6.29E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.186  2.20E+01 6.93E+01 7.38E+02 3.22E+00 7.90E+00 1.11E+01 1.01E+01 8.66E+00 7.93E+00 5.57E+00 4.33E+00 3.41E+00 2.70E+00 1.08E+00 1.08E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.215  4.60E+01 1.23E+02 1.40E+03 4.30E+00 1.13E+01 1.54E+01 1.75E+01 1.73E+01 1.45E+01 1.33E+01 9.38E+00 6.65E+00 5.57E+00 2.70E+00 2.16E+00 1.08E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.240  9.70E+01 2.82E+02 3.27E+03 9.77E+00 2.54E+01 3.64E+01 3.73E+01 3.57E+01 3.20E+01 2.97E+01 2.41E+01 1.80E+01 1.42E+01 7.55E+00 5.40E+00 2.70E+00 1.08E+00 1.08E+00 1.08E+00 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.263  1.90E+02 4.63E+02 5.51E+03 1.80E+01 3.79E+01 5.49E+01 5.96E+01 5.71E+01 5.82E+01 4.54E+01 3.68E+01 3.22E+01 2.46E+01 1.62E+01 1.03E+01 5.94E+00 2.70E+00 1.62E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.284  3.65E+02 9.33E+02 1.16E+04 3.40E+01 6.87E+01 9.92E+01 1.10E+02 1.08E+02 1.12E+02 1.00E+02 8.48E+01 6.80E+01 5.43E+01 3.56E+01 2.48E+01 1.56E+01 7.55E+00 4.32E+00 2.70E+00 1.08E+00 1.08E+00 5.40E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.303  6.78E+02 1.57E+03 1.97E+04 5.52E+01 1.20E+02 1.62E+02 1.87E+02 1.91E+02 1.82E+02 1.64E+02 1.37E+02 1.16E+02 9.48E+01 6.17E+01 4.08E+01 2.81E+01 1.62E+01 9.17E+00 4.32E+00 2.70E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.322  1.30E+03 3.42E+03 4.38E+04 1.10E+02 2.34E+02 3.41E+02 3.86E+02 4.11E+02 4.13E+02 3.75E+02 3.09E+02 2.50E+02 2.04E+02 1.39E+02 1.00E+02 6.11E+01 3.80E+01 2.47E+01 1.33E+01 5.94E+00 2.70E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.339  2.44E+03 5.64E+03 7.33E+04 1.80E+02 3.72E+02 5.44E+02 6.24E+02 6.67E+02 6.62E+02 6.09E+02 5.22E+02 4.42E+02 3.43E+02 2.36E+02 1.72E+02 1.13E+02 6.82E+01 4.21E+01 2.36E+01 1.10E+01 5.40E+00 2.70E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.356  4.58E+03 1.15E+04 1.54E+05 3.48E+02 7.26E+02 1.04E+03 1.23E+03 1.32E+03 1.35E+03 1.25E+03 1.09E+03 9.14E+02 7.49E+02 5.35E+02 3.81E+02 2.52E+02 1.54E+02 9.99E+01 5.62E+01 3.16E+01 1.67E+01 5.94E+00 2.70E+00 1.08E+00 1.08E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
