                    *********************************************************************************
                    *  Z= 63 A=153: Positive-Parity Spin-dependent Level Density [MeV-1] for EU153  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
  18.00  1.138  1.32E+12 8.43E+11 1.20E+13 2.38E+10 4.70E+10 6.97E+10 8.68E+10 9.24E+10 8.81E+10 8.67E+10 7.80E+10 6.59E+10 5.53E+10 4.36E+10 3.25E+10 2.38E+10 1.73E+10 1.15E+10 7.47E+09 5.01E+09 3.23E+09 1.99E+09 1.24E+09 7.78E+08 4.45E+08 2.56E+08 1.56E+08 8.82E+07 5.04E+07 2.91E+07 1.70E+07 1.07E+07 2.81E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.169  2.54E+12 1.59E+12 2.29E+13 4.32E+10 8.55E+10 1.29E+11 1.63E+11 1.73E+11 1.64E+11 1.62E+11 1.48E+11 1.25E+11 1.06E+11 8.44E+10 6.28E+10 4.62E+10 3.40E+10 2.28E+10 1.49E+10 1.01E+10 6.63E+09 4.12E+09 2.60E+09 1.66E+09 9.62E+08 5.63E+08 3.49E+08 2.00E+08 1.16E+08 6.87E+07 4.07E+07 2.58E+07 7.04E+06 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.199  4.83E+12 3.01E+12 4.38E+13 7.86E+10 1.56E+11 2.38E+11 3.06E+11 3.23E+11 3.05E+11 3.04E+11 2.81E+11 2.38E+11 2.04E+11 1.63E+11 1.21E+11 8.98E+10 6.68E+10 4.50E+10 2.97E+10 2.05E+10 1.36E+10 8.53E+09 5.47E+09 3.54E+09 2.08E+09 1.23E+09 7.82E+08 4.52E+08 2.65E+08 1.62E+08 9.76E+07 6.25E+07 1.77E+07 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.272  2.71E+13 1.48E+13 2.22E+14 3.51E+11 6.96E+11 1.10E+12 1.48E+12 1.54E+12 1.44E+12 1.46E+12 1.40E+12 1.19E+12 1.04E+12 8.53E+11 6.31E+11 4.72E+11 3.60E+11 2.46E+11 1.67E+11 1.20E+11 8.18E+10 5.26E+10 3.50E+10 2.35E+10 1.43E+10 8.79E+09 5.88E+09 3.48E+09 2.11E+09 1.38E+09 8.68E+08 5.70E+08 1.76E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.341  1.37E+14 7.29E+13 1.13E+15 1.57E+12 3.11E+12 5.13E+12 7.13E+12 7.35E+12 6.82E+12 7.02E+12 6.93E+12 5.90E+12 5.32E+12 4.45E+12 3.28E+12 2.48E+12 1.95E+12 1.35E+12 9.34E+11 6.98E+11 4.93E+11 3.24E+11 2.24E+11 1.56E+11 9.83E+10 6.26E+10 4.42E+10 2.68E+10 1.68E+10 1.18E+10 7.71E+09 5.20E+09 1.75E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.469  4.81E+15 1.80E+15 2.98E+16 3.13E+13 6.21E+13 1.11E+14 1.66E+14 1.67E+14 1.52E+14 1.62E+14 1.71E+14 1.46E+14 1.39E+14 1.21E+14 8.86E+13 6.84E+13 5.67E+13 4.04E+13 2.94E+13 2.37E+13 1.79E+13 1.23E+13 9.14E+12 6.88E+12 4.65E+12 3.18E+12 2.50E+12 1.59E+12 1.06E+12 8.54E+11 6.09E+11 4.33E+11 1.74E+11 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.696  5.93E+18 1.18E+18 2.36E+19 1.24E+16 2.48E+16 5.14E+16 9.01E+16 8.68E+16 7.61E+16 8.61E+16 1.04E+17 8.99E+16 9.43E+16 8.97E+16 6.47E+16 5.21E+16 4.82E+16 3.62E+16 2.91E+16 2.75E+16 2.35E+16 1.77E+16 1.53E+16 1.34E+16 1.04E+16 8.18E+15 7.97E+15 5.58E+15 4.28E+15 4.50E+15 3.80E+15 3.00E+15 1.71E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.896  2.37E+19 2.36E+18 4.72E+19 2.48E+16 4.95E+16 1.03E+17 1.80E+17 1.73E+17 1.52E+17 1.72E+17 2.08E+17 1.80E+17 1.89E+17 1.79E+17 1.29E+17 1.04E+17 9.63E+16 7.24E+16 5.82E+16 5.49E+16 4.70E+16 3.54E+16 3.06E+16 2.68E+16 2.08E+16 1.64E+16 1.59E+16 1.12E+16 8.55E+15 9.00E+15 7.60E+15 5.99E+15 3.41E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  2.077  5.91E+19 4.72E+18 9.44E+19 4.96E+16 9.89E+16 2.05E+17 3.60E+17 3.47E+17 3.04E+17 3.44E+17 4.15E+17 3.59E+17 3.77E+17 3.58E+17 2.59E+17 2.08E+17 1.93E+17 1.45E+17 1.16E+17 1.10E+17 9.39E+16 7.09E+16 6.11E+16 5.35E+16 4.15E+16 3.27E+16 3.19E+16 2.23E+16 1.71E+16 1.80E+16 1.52E+16 1.20E+16 6.82E+15 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  2.243  1.30E+20 9.44E+18 1.89E+20 9.90E+16 1.98E+17 4.10E+17 7.19E+17 6.92E+17 6.07E+17 6.87E+17 8.29E+17 7.18E+17 7.53E+17 7.16E+17 5.17E+17 4.16E+17 3.85E+17 2.89E+17 2.32E+17 2.19E+17 1.88E+17 1.42E+17 1.22E+17 1.07E+17 8.31E+16 6.54E+16 6.37E+16 4.46E+16 3.42E+16 3.60E+16 3.04E+16 2.40E+16 1.36E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.398  2.71E+20 1.89E+19 3.77E+20 1.98E+17 3.95E+17 8.18E+17 1.44E+18 1.38E+18 1.21E+18 1.37E+18 1.66E+18 1.43E+18 1.50E+18 1.43E+18 1.03E+18 8.31E+17 7.69E+17 5.78E+17 4.65E+17 4.39E+17 3.75E+17 2.83E+17 2.44E+17 2.14E+17 1.66E+17 1.31E+17 1.27E+17 8.92E+16 6.84E+16 7.20E+16 6.08E+16 4.79E+16 2.73E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.544  5.54E+20 3.77E+19 7.54E+20 3.95E+17 7.88E+17 1.63E+18 2.87E+18 2.76E+18 2.42E+18 2.74E+18 3.31E+18 2.87E+18 3.01E+18 2.86E+18 2.06E+18 1.66E+18 1.54E+18 1.16E+18 9.29E+17 8.77E+17 7.50E+17 5.66E+17 4.89E+17 4.28E+17 3.32E+17 2.62E+17 2.55E+17 1.78E+17 1.37E+17 1.44E+17 1.22E+17 9.58E+16 5.46E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.681  1.12E+21 7.53E+19 1.51E+21 7.89E+17 1.57E+18 3.27E+18 5.73E+18 5.52E+18 4.84E+18 5.48E+18 6.62E+18 5.73E+18 6.01E+18 5.72E+18 4.13E+18 3.32E+18 3.07E+18 2.31E+18 1.86E+18 1.75E+18 1.50E+18 1.13E+18 9.77E+17 8.56E+17 6.64E+17 5.23E+17 5.10E+17 3.57E+17 2.74E+17 2.88E+17 2.43E+17 1.92E+17 1.09E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.812  2.25E+21 1.51E+20 3.01E+21 1.58E+18 3.14E+18 6.53E+18 1.15E+19 1.10E+19 9.68E+18 1.09E+19 1.32E+19 1.14E+19 1.20E+19 1.14E+19 8.24E+18 6.64E+18 6.14E+18 4.62E+18 3.71E+18 3.50E+18 3.00E+18 2.26E+18 1.95E+18 1.71E+18 1.33E+18 1.05E+18 1.02E+18 7.13E+17 5.47E+17 5.76E+17 4.86E+17 3.83E+17 2.18E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.937  4.51E+21 3.01E+20 6.02E+21 3.15E+18 6.28E+18 1.30E+19 2.29E+19 2.21E+19 1.93E+19 2.19E+19 2.64E+19 2.29E+19 2.40E+19 2.28E+19 1.65E+19 1.33E+19 1.23E+19 9.23E+18 7.42E+18 7.01E+18 5.99E+18 4.53E+18 3.91E+18 3.42E+18 2.65E+18 2.09E+18 2.04E+18 1.43E+18 1.09E+18 1.15E+18 9.73E+17 7.66E+17 4.37E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  3.057  9.02E+21 6.01E+20 1.20E+22 6.29E+18 1.25E+19 2.60E+19 4.58E+19 4.41E+19 3.86E+19 4.37E+19 5.28E+19 4.57E+19 4.80E+19 4.56E+19 3.29E+19 2.65E+19 2.45E+19 1.84E+19 1.48E+19 1.40E+19 1.20E+19 9.05E+18 7.81E+18 6.84E+18 5.31E+18 4.18E+18 4.07E+18 2.85E+18 2.19E+18 2.30E+18 1.94E+18 1.53E+18 8.73E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  3.173  1.80E+22 1.20E+21 2.40E+22 1.26E+19 2.51E+19 5.20E+19 9.14E+19 8.80E+19 7.72E+19 8.73E+19 1.06E+20 9.13E+19 9.59E+19 9.12E+19 6.58E+19 5.30E+19 4.90E+19 3.69E+19 2.97E+19 2.80E+19 2.40E+19 1.81E+19 1.56E+19 1.37E+19 1.06E+19 8.36E+18 8.15E+18 5.71E+18 4.37E+18 4.61E+18 3.89E+18 3.06E+18 1.75E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  3.284  3.61E+22 2.40E+21 4.81E+22 2.51E+19 5.01E+19 1.04E+20 1.83E+20 1.76E+20 1.54E+20 1.75E+20 2.11E+20 1.82E+20 1.92E+20 1.82E+20 1.32E+20 1.06E+20 9.80E+19 7.37E+19 5.93E+19 5.60E+19 4.79E+19 3.62E+19 3.12E+19 2.74E+19 2.12E+19 1.67E+19 1.63E+19 1.14E+19 8.75E+18 9.21E+18 7.78E+18 6.13E+18 3.49E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  3.392  7.21E+22 4.80E+21 9.61E+22 5.01E+19 1.00E+20 2.08E+20 3.65E+20 3.51E+20 3.08E+20 3.49E+20 4.21E+20 3.65E+20 3.83E+20 3.64E+20 2.63E+20 2.12E+20 1.96E+20 1.47E+20 1.18E+20 1.12E+20 9.58E+19 7.23E+19 6.24E+19 5.47E+19 4.24E+19 3.34E+19 3.26E+19 2.28E+19 1.75E+19 1.84E+19 1.56E+19 1.23E+19 6.98E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.496  1.44E+23 9.59E+21 1.92E+23 1.00E+20 2.00E+20 4.15E+20 7.29E+20 7.02E+20 6.16E+20 6.97E+20 8.42E+20 7.29E+20 7.65E+20 7.28E+20 5.26E+20 4.23E+20 3.92E+20 2.95E+20 2.37E+20 2.24E+20 1.91E+20 1.45E+20 1.25E+20 1.09E+20 8.49E+19 6.69E+19 6.51E+19 4.56E+19 3.50E+19 3.68E+19 3.11E+19 2.45E+19 1.40E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.597  2.88E+23 1.92E+22 3.84E+23 2.00E+20 3.99E+20 8.29E+20 1.46E+21 1.40E+21 1.23E+21 1.39E+21 1.68E+21 1.46E+21 1.53E+21 1.46E+21 1.05E+21 8.46E+20 7.83E+20 5.89E+20 4.74E+20 4.47E+20 3.83E+20 2.89E+20 2.50E+20 2.19E+20 1.70E+20 1.34E+20 1.30E+20 9.12E+19 7.00E+19 7.37E+19 6.22E+19 4.90E+19 2.79E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.696  5.75E+23 3.83E+22 7.67E+23 3.99E+20 7.97E+20 1.66E+21 2.91E+21 2.80E+21 2.46E+21 2.78E+21 3.36E+21 2.91E+21 3.06E+21 2.91E+21 2.10E+21 1.69E+21 1.56E+21 1.18E+21 9.47E+20 8.94E+20 7.65E+20 5.78E+20 4.99E+20 4.37E+20 3.39E+20 2.67E+20 2.61E+20 1.82E+20 1.40E+20 1.47E+20 1.24E+20 9.80E+19 5.59E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.792  1.15E+24 7.66E+22 1.53E+24 7.98E+20 1.59E+21 3.31E+21 5.82E+21 5.60E+21 4.91E+21 5.56E+21 6.72E+21 5.82E+21 6.11E+21 5.81E+21 4.20E+21 3.38E+21 3.13E+21 2.35E+21 1.89E+21 1.79E+21 1.53E+21 1.16E+21 9.98E+20 8.74E+20 6.78E+20 5.35E+20 5.21E+20 3.65E+20 2.80E+20 2.95E+20 2.49E+20 1.96E+20 1.12E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 63 A=155: Positive-Parity Spin-dependent Level Density [MeV-1] for EU155  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2   J=61/2   J=63/2   J=65/2   J=67/2   J=69/2   J=71/2   J=73/2   J=75/2   J=77/2   J=79/2   J=81/2   J=83/2   J=85/2   J=87/2   J=89/2   J=91/2   J=93/2   J=95/2   J=97/2   J=99/2
   0.25  0.133  2.00E+00 1.06E+01 1.13E+02 0.00E+00 1.00E+00 1.72E+00 1.44E+00 1.44E+00 1.44E+00 1.44E+00 1.44E+00 7.18E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.188  5.00E+00 1.41E+01 1.37E+02 8.33E-01 2.27E+00 2.63E+00 1.80E+00 1.20E+00 1.20E+00 1.20E+00 1.20E+00 1.20E+00 5.99E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.231  9.00E+00 2.12E+01 2.00E+02 1.43E+00 2.51E+00 4.20E+00 3.79E+00 2.57E+00 2.05E+00 1.03E+00 1.03E+00 1.03E+00 1.03E+00 5.13E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.266  1.60E+01 3.23E+01 3.16E+02 1.43E+00 3.23E+00 5.73E+00 6.56E+00 5.13E+00 3.59E+00 2.05E+00 1.03E+00 1.03E+00 1.03E+00 1.03E+00 5.13E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.298  2.70E+01 5.87E+01 5.71E+02 1.94E+00 6.20E+00 1.12E+01 1.21E+01 7.70E+00 6.67E+00 5.13E+00 2.57E+00 1.54E+00 1.03E+00 1.03E+00 1.03E+00 5.13E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.326  4.60E+01 8.66E+01 8.69E+02 3.88E+00 8.32E+00 1.44E+01 1.44E+01 1.28E+01 1.20E+01 6.69E+00 6.87E+00 2.57E+00 1.54E+00 1.03E+00 1.03E+00 1.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.352  7.50E+01 1.53E+02 1.55E+03 6.34E+00 1.56E+01 2.77E+01 2.53E+01 1.92E+01 1.80E+01 1.41E+01 1.10E+01 6.87E+00 3.59E+00 2.05E+00 1.03E+00 1.03E+00 1.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.377  1.24E+02 2.35E+02 2.43E+03 9.47E+00 2.29E+01 3.76E+01 3.90E+01 3.22E+01 2.78E+01 2.11E+01 1.67E+01 1.15E+01 8.61E+00 3.59E+00 1.54E+00 1.03E+00 1.03E+00 5.13E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.400  2.09E+02 4.46E+02 4.58E+03 1.77E+01 4.68E+01 6.99E+01 7.49E+01 6.51E+01 5.43E+01 4.08E+01 2.64E+01 1.97E+01 1.43E+01 8.92E+00 3.59E+00 1.54E+00 1.03E+00 1.03E+00 5.13E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.421  3.46E+02 6.52E+02 6.87E+03 2.33E+01 6.04E+01 9.57E+01 1.08E+02 9.92E+01 8.29E+01 6.31E+01 4.43E+01 2.70E+01 2.01E+01 1.46E+01 8.21E+00 2.57E+00 1.03E+00 1.03E+00 1.03E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.75  0.442  5.64E+02 1.09E+03 1.18E+04 4.26E+01 9.94E+01 1.48E+02 1.63E+02 1.52E+02 1.47E+02 1.14E+02 8.33E+01 5.62E+01 3.56E+01 2.30E+01 1.44E+01 8.21E+00 2.57E+00 1.03E+00 1.03E+00 5.13E-01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
